time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.130400,0.304210
1.064994,0.130956,0.304400
1.069994,0.131281,0.304528
1.074994,0.131862,0.304720
1.079994,0.132284,0.304850
1.084995,0.132890,0.305044
1.089995,0.133230,0.305175
1.094995,0.133803,0.305372
1.099995,0.134134,0.305504
1.104996,0.147319,0.302870
1.109996,0.147485,0.302990
1.114996,0.147920,0.303170
1.119996,0.148249,0.303291
1.124997,0.148730,0.303473
1.129997,0.149049,0.303596
1.134997,0.149564,0.303780
1.139997,0.149908,0.303904
1.144997,0.150385,0.304090
1.149998,0.150704,0.304215
1.154998,0.151149,0.304403
1.159998,0.151402,0.304529
1.164998,0.151806,0.304720
1.169999,0.152054,0.304847
1.174999,0.152475,0.305039
1.179999,0.152732,0.305168
1.184999,0.153114,0.305363
1.190000,0.153231,0.305493
1.195000,0.153618,0.305689
1.200000,0.153874,0.305821
1.205000,0.158809,0.303183
1.210001,0.159263,0.303303
1.215001,0.159685,0.303483
1.220001,0.159958,0.303604
1.225001,0.160392,0.303787
1.230001,0.160708,0.303909
1.235002,0.161086,0.304093
1.240002,0.161318,0.304217
1.245002,0.161760,0.304403
1.250002,0.162062,0.304528
1.255003,0.162560,0.304716
1.260003,0.162934,0.304842
1.265003,0.163437,0.305032
1.270003,0.163682,0.305159
1.275004,0.164180,0.305351
1.280004,0.164464,0.305480
1.285004,0.164932,0.305674
1.290004,0.165200,0.305804
1.295004,0.165660,0.306000
1.300005,0.165936,0.306131
1.305005,0.141303,0.303490
1.310005,0.141307,0.303610
1.315005,0.141493,0.303791
1.320006,0.141641,0.303911
1.325006,0.141784,0.304094
1.330006,0.141904,0.304216
1.335006,0.141999,0.304400
1.340007,0.142073,0.304524
1.345007,0.142133,0.304710
1.350007,0.142180,0.304834
1.355007,0.142250,0.305022
1.360008,0.142334,0.305148
1.365008,0.142410,0.305338
1.370008,0.142475,0.305465
1.375008,0.142504,0.305657
1.380008,0.142527,0.305785
1.385009,0.142550,0.305979
1.390009,0.142694,0.306108
1.395009,0.142740,0.306304
1.400009,0.142829,0.306435
1.405010,0.111259,0.303791
1.410010,0.111133,0.303911
1.415010,0.111063,0.304091
1.420010,0.111091,0.304212
1.425011,0.111013,0.304394
1.430011,0.110877,0.304516
1.435011,0.110780,0.304700
1.440011,0.110708,0.304824
1.445011,0.110604,0.305010
1.450012,0.110524,0.305134
1.455012,0.110405,0.305322
1.460012,0.110326,0.305447
1.465012,0.110208,0.305637
1.470013,0.110005,0.305764
1.475013,0.109816,0.305955
1.480013,0.109599,0.306084
1.485013,0.109406,0.306277
1.490014,0.109343,0.306406
1.495014,0.109153,0.306601
1.500014,0.109058,0.306732
1.505014,0.131781,0.304086
1.510015,0.131793,0.304205
1.515015,0.131795,0.304386
1.520015,0.131900,0.304506
1.525015,0.131869,0.304689
1.530015,0.131787,0.304811
1.535016,0.131736,0.304994
1.540016,0.131724,0.305117
1.545016,0.131743,0.305303
1.550016,0.131761,0.305427
1.555017,0.131766,0.305615
1.560017,0.131649,0.305740
1.565017,0.131569,0.305930
1.570017,0.131597,0.306056
1.575018,0.131519,0.306247
1.580018,0.131367,0.306375
1.585018,0.131272,0.306568
1.590018,0.131164,0.306697
1.595019,0.131080,0.306892
1.600019,0.131165,0.307023
1.605019,0.193088,0.304374
1.610019,0.193387,0.304494
1.615019,0.193870,0.304674
1.620020,0.194195,0.304795
1.625020,0.194699,0.304976
1.630020,0.195048,0.305098
1.635020,0.195554,0.305282
1.640021,0.195869,0.305405
1.645021,0.196308,0.305590
1.650021,0.196590,0.305714
1.655021,0.197030,0.305902
1.660022,0.197247,0.306027
1.665022,0.197610,0.306216
1.670022,0.197838,0.306342
1.675022,0.198179,0.306533
1.680022,0.198484,0.306661
1.685023,0.198808,0.306853
1.690023,0.198957,0.306982
1.695023,0.199232,0.307177
1.700023,0.199414,0.307307
1.705024,0.158761,0.304657
1.710024,0.158932,0.304776
1.715024,0.159186,0.304956
1.720024,0.159374,0.305076
1.725025,0.159649,0.305258
1.730025,0.159868,0.305380
1.735025,0.160160,0.305563
1.740025,0.160353,0.305686
1.745026,0.160633,0.305871
1.750026,0.160800,0.305995
1.755026,0.161049,0.306182
1.760026,0.161216,0.306307
1.765026,0.161479,0.306496
1.770027,0.161680,0.306622
1.775027,0.161962,0.306812
1.780027,0.162153,0.306940
1.785027,0.162428,0.307132
1.790028,0.162684,0.307261
1.795028,0.162961,0.307455
1.800028,0.163085,0.307584
1.805028,0.147826,0.304933
1.810029,0.147912,0.305052
1.815029,0.148238,0.305232
1.820029,0.148409,0.305352
1.825029,0.148675,0.305534
1.830029,0.148819,0.305655
1.835030,0.149042,0.305838
1.840030,0.149187,0.305961
1.845030,0.149405,0.306146
1.850030,0.149532,0.306269
1.855031,0.149755,0.306456
1.860031,0.149961,0.306581
1.865031,0.150260,0.306769
1.870031,0.150411,0.306895
1.875032,0.150680,0.307085
1.880032,0.150723,0.307213
1.885032,0.150959,0.307405
1.890032,0.150994,0.307533
1.895033,0.151262,0.307727
1.900033,0.151381,0.307856
1.905033,0.149253,0.305203
1.910033,0.148996,0.305322
1.915033,0.149093,0.305502
1.920034,0.149168,0.305622
1.925034,0.149282,0.305803
1.930034,0.149331,0.305924
1.935034,0.149416,0.306107
1.940035,0.149474,0.306230
1.945035,0.149557,0.306414
1.950035,0.149636,0.306538
1.955035,0.149715,0.306724
1.960036,0.149714,0.306849
1.965036,0.149805,0.307037
1.970036,0.149828,0.307163
1.975036,0.149903,0.307353
1.980036,0.149742,0.307480
1.985037,0.149754,0.307671
1.990037,0.150039,0.307799
1.995037,0.150100,0.307993
2.000037,0.149878,0.308122
2.005037,0.148766,0.305467
2.010037,0.148884,0.305586
2.015036,0.148757,0.305765
2.020036,0.148612,0.305885
2.025036,0.148460,0.306066
2.030035,0.148352,0.306188
2.035035,0.148176,0.306370
2.040035,0.148054,0.306493
2.045034,0.147846,0.306677
2.050034,0.147713,0.306800
2.055033,0.147497,0.306986
2.060033,0.147311,0.307111
2.065033,0.147085,0.307299
2.070032,0.147048,0.307424
2.075032,0.146868,0.307614
2.080032,0.146819,0.307741
2.085031,0.146683,0.307932
2.090031,0.146486,0.308060
2.095031,0.146344,0.308253
2.100030,0.146335,0.308382
2.105030,0.165065,0.305726
2.110029,0.165269,0.305844
2.115029,0.165548,0.306023
2.120029,0.165825,0.306143
2.125028,0.166100,0.306324
2.130028,0.166282,0.306445
2.135028,0.166499,0.306628
2.140027,0.166634,0.306750
2.145027,0.166922,0.306934
2.150027,0.167124,0.307057
2.155026,0.167429,0.307243
2.160026,0.167625,0.307367
2.165025,0.167926,0.307555
2.170025,0.168259,0.307680
2.175025,0.168623,0.307869
2.180024,0.168668,0.307996
2.185024,0.168960,0.308187
2.190024,0.168999,0.308315
2.195023,0.169241,0.308507
2.200023,0.169587,0.308636
2.205023,0.150212,0.305978
2.210022,0.150272,0.306097
2.215022,0.150488,0.306276
2.220021,0.150666,0.306396
2.225021,0.150863,0.306576
2.230021,0.150933,0.306697
2.235020,0.151193,0.306879
2.240020,0.151382,0.307001
2.245020,0.151611,0.307185
2.250019,0.151782,0.307308
2.255019,0.152067,0.307493
2.260019,0.152365,0.307618
2.265018,0.152745,0.307805
2.270018,0.152978,0.307930
2.275017,0.153350,0.308119
2.280017,0.153486,0.308246
2.285017,0.153844,0.308436
2.290016,0.154027,0.308564
2.295016,0.154393,0.308756
2.300016,0.154741,0.308885
2.305015,0.149095,0.306226
2.310015,0.149501,0.306344
2.315015,0.149730,0.306523
2.320014,0.149961,0.306642
2.325014,0.150133,0.306823
2.330014,0.150237,0.306943
2.335013,0.150409,0.307125
2.340013,0.150534,0.307247
2.345012,0.150692,0.307430
2.350012,0.150743,0.307553
2.355012,0.150830,0.307739
2.360011,0.150925,0.307863
2.365011,0.151041,0.308050
2.370011,0.151043,0.308175
2.375010,0.151123,0.308363
2.380010,0.151308,0.308490
2.385010,0.151433,0.308680
2.390009,0.152045,0.308807
2.395009,0.152302,0.309000
2.400008,0.152563,0.309128
2.405008,0.170366,0.306467
2.410008,0.170551,0.306586
2.415007,0.171009,0.306764
2.420007,0.171410,0.306883
2.425007,0.171875,0.307063
2.430006,0.172055,0.307184
2.435006,0.172512,0.307366
2.440006,0.172811,0.307487
2.445005,0.173278,0.307671
2.450005,0.173514,0.307793
2.455004,0.173930,0.307978
2.460004,0.174270,0.308102
2.465004,0.174714,0.308289
2.470003,0.175089,0.308414
2.475003,0.175624,0.308602
2.480003,0.176013,0.308728
2.485002,0.176557,0.308918
2.490002,0.176746,0.309046
2.495002,0.177268,0.309238
2.500001,0.177657,0.309366
2.505001,0.204877,0.306703
2.510000,0.205367,0.306822
2.515000,0.205823,0.307000
2.520000,0.206044,0.307119
2.524999,0.206488,0.307299
2.529999,0.206878,0.307419
2.534999,0.207307,0.307601
2.539998,0.207589,0.307722
2.544998,0.208063,0.307905
2.549998,0.208372,0.308028
2.554997,0.208868,0.308213
2.559997,0.209199,0.308336
2.564996,0.209703,0.308523
2.569996,0.209933,0.308648
2.574996,0.210380,0.308836
2.579995,0.210919,0.308962
2.584995,0.211409,0.309152
2.589995,0.211705,0.309279
2.594994,0.212202,0.309470
2.599994,0.212489,0.309599
2.604994,0.212682,0.306934
2.609993,0.213001,0.307052
2.614993,0.213558,0.307230
2.619992,0.213928,0.307350
2.624992,0.214416,0.307529
2.629992,0.214667,0.307649
2.634991,0.215159,0.307831
2.639991,0.215471,0.307952
2.644991,0.215966,0.308135
2.649990,0.216213,0.308257
2.654990,0.216618,0.308442
2.659990,0.217046,0.308565
2.664989,0.217511,0.308752
2.669989,0.217675,0.308876
2.674989,0.218096,0.309064
2.679988,0.218359,0.309190
2.684988,0.218749,0.309380
2.689987,0.218979,0.309507
2.694987,0.219368,0.309698
2.699987,0.219402,0.309826
2.704986,0.203055,0.307160
2.709986,0.203335,0.307278
2.714986,0.203678,0.307456
2.719985,0.203939,0.307575
2.724985,0.204298,0.307754
2.729985,0.204481,0.307875
2.734984,0.204820,0.308056
2.739984,0.205045,0.308177
2.744983,0.205400,0.308359
2.749983,0.205640,0.308482
2.754983,0.205997,0.308666
2.759982,0.206203,0.308789
2.764982,0.206517,0.308975
2.769982,0.206656,0.309100
2.774981,0.206958,0.309288
2.779981,0.207210,0.309413
2.784981,0.207488,0.309603
2.789980,0.207928,0.309730
2.794980,0.208250,0.309921
2.799979,0.208388,0.310049
2.804979,0.248995,0.307381
2.809979,0.249397,0.307499
2.814978,0.249856,0.307677
2.819978,0.250088,0.307795
2.824978,0.250604,0.307975
2.829977,0.250985,0.308095
2.834977,0.251515,0.308275
2.839977,0.251875,0.308397
2.844976,0.252390,0.308579
2.849976,0.252740,0.308701
2.854975,0.253281,0.308885
2.859975,0.253680,0.309009
2.864975,0.254277,0.309194
2.869974,0.254693,0.309319
2.874974,0.255261,0.309506
2.879974,0.255649,0.309632
2.884973,0.256222,0.309821
2.889973,0.256680,0.309947
2.894973,0.257270,0.310138
2.899972,0.257684,0.310266
2.904972,0.223240,0.307597
2.909971,0.223445,0.307715
2.914971,0.223608,0.307892
2.919971,0.223669,0.308011
2.924970,0.223818,0.308190
2.929970,0.223873,0.308310
2.934970,0.224054,0.308490
2.939969,0.224176,0.308611
2.944969,0.224405,0.308794
2.949969,0.224597,0.308916
2.954968,0.224851,0.309100
2.959968,0.224997,0.309223
2.964967,0.225259,0.309408
2.969967,0.225428,0.309533
2.974967,0.225683,0.309720
