time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.489997,-0.011500,-0.005754,0.131610,0.171458
0.494997,-0.010846,-0.004740,0.130087,0.166376
0.499997,-0.010202,-0.003958,0.127752,0.164588
0.504997,-0.009573,-0.000189,0.124515,0.191850
0.509997,-0.008962,0.000518,0.120352,0.188676
0.514997,-0.008375,0.001641,0.115258,0.183307
0.519997,-0.007817,0.002357,0.109236,0.178804
0.524997,-0.007291,0.003412,0.102483,0.168624
0.529997,-0.006800,0.004088,0.095017,0.161379
0.534997,-0.006349,0.005037,0.086956,0.150691
0.539997,-0.005940,0.005641,0.078291,0.143065
0.544997,-0.005576,0.006474,0.069074,0.129123
0.549996,-0.005260,0.006992,0.059337,0.122980
0.554996,-0.004993,0.007692,0.049191,0.105476
0.559996,-0.004779,0.008152,0.038739,0.097394
0.564996,-0.004617,0.008711,0.028131,0.083456
0.569996,-0.004508,0.008912,0.017514,0.067764
0.574996,-0.004452,0.009287,0.006843,0.051760
0.579996,-0.004451,0.009477,-0.003966,0.043390
0.584996,-0.004503,0.009716,-0.014740,0.032908
0.589996,-0.004609,0.009725,-0.025536,0.020937
0.594996,-0.004769,0.009822,-0.036211,0.007016
0.599996,-0.004981,0.009730,-0.046609,-0.006403
0.604996,-0.005243,0.024995,-0.056292,-0.026234
0.609996,-0.005551,0.024901,-0.065050,-0.034252
0.614996,-0.005901,0.024672,-0.073163,-0.046585
0.619996,-0.006290,0.024473,-0.080625,-0.051043
0.624996,-0.006714,0.024143,-0.087545,-0.062691
0.629995,-0.007171,0.023894,-0.093885,-0.070006
0.634995,-0.007658,0.023458,-0.099802,-0.077332
0.639995,-0.008174,0.023120,-0.105343,-0.087637
0.644995,-0.008716,0.022577,-0.110471,-0.095036
0.649995,-0.009283,0.022229,-0.115270,-0.096423
0.654995,-0.009873,0.021645,-0.119772,-0.100655
0.659995,-0.010484,0.021249,-0.123860,-0.102720
0.664995,-0.011115,0.020614,-0.127550,-0.109147
0.669995,-0.011763,0.020117,-0.130907,-0.114974
0.674995,-0.012426,0.019413,-0.133897,-0.122114
0.679995,-0.013104,0.018673,-0.136472,-0.133857
0.684995,-0.013793,0.017861,-0.138617,-0.138946
0.689995,-0.014491,0.017568,-0.140331,-0.130574
0.694995,-0.015197,0.016779,-0.141594,-0.131702
0.699995,-0.015907,0.015883,-0.142381,-0.145120
0.704994,-0.016620,0.015555,-0.142711,-0.156382
0.709994,-0.017334,0.014738,-0.142534,-0.151129
0.714994,-0.018044,0.013822,-0.141820,-0.152693
0.719994,-0.018750,0.013261,-0.140559,-0.155152
0.724994,-0.019448,0.012331,-0.138788,-0.154001
0.729994,-0.020135,0.011754,-0.136525,-0.155942
0.734994,-0.020810,0.010818,-0.133804,-0.155393
0.739994,-0.021469,0.010186,-0.130638,-0.147116
0.744994,-0.022112,0.009309,-0.127045,-0.143637
0.749994,-0.022735,0.008735,-0.123067,-0.140418
0.754994,-0.023338,0.007898,-0.118720,-0.138561
0.759994,-0.023917,0.007370,-0.114007,-0.136425
0.764994,-0.024472,0.006556,-0.108992,-0.131423
0.769994,-0.025002,0.006150,-0.103821,-0.118888
0.774994,-0.025505,0.005444,-0.098377,-0.113151
0.779994,-0.025980,0.005053,-0.092770,-0.107286
0.784993,-0.026426,0.004423,-0.086955,-0.097758
0.789993,-0.026843,0.003859,-0.080969,-0.099296
0.794993,-0.027230,0.003273,-0.074986,-0.094874
0.799993,-0.027587,0.002643,-0.068951,-0.097729
0.804993,-0.027913,0.016271,-0.062700,-0.028220
0.809993,-0.028207,0.015700,-0.056189,-0.013864
0.814993,-0.028468,0.015631,-0.049554,-0.007070
0.819993,-0.028696,0.015136,-0.043026,0.012989
0.824993,-0.028893,0.015221,-0.036761,0.015441
0.829993,-0.029058,0.015405,-0.030813,0.012839
0.834993,-0.029196,0.015496,-0.025287,0.021500
0.839993,-0.029307,0.015566,-0.020304,0.029778
0.844993,-0.029395,0.015753,-0.015967,0.034218
0.849993,-0.029464,0.015902,-0.012276,0.039114
0.854993,-0.029516,0.016146,-0.009274,0.043294
0.859993,-0.029555,0.016244,-0.006997,0.040704
0.864992,-0.029585,0.016502,-0.005418,0.045625
0.869992,-0.029609,0.016601,-0.004555,0.041180
0.874992,-0.029631,0.016846,-0.004395,0.039867
0.879992,-0.029654,0.017047,-0.004900,0.040715
0.884992,-0.029682,0.017283,-0.006044,0.035645
0.889992,-0.029717,0.017341,-0.007812,0.032737
0.894992,-0.029763,0.017529,-0.010169,0.027011
0.899992,-0.029823,0.017866,-0.013044,0.029763
0.904992,-0.029898,0.017242,-0.016399,0.035085
0.909992,-0.029991,0.017537,-0.020153,0.028845
0.914992,-0.030104,0.017697,-0.024275,0.022298
0.919992,-0.030238,0.017766,-0.028778,0.019371
0.924992,-0.030397,0.017865,-0.033529,0.012972
0.929992,-0.030579,0.017934,-0.038488,0.007723
0.934992,-0.030787,0.017972,-0.043681,0.001054
0.939991,-0.031021,0.017939,-0.049011,0.001282
0.944991,-0.031282,0.017937,-0.054410,-0.005363
0.949991,-0.031571,0.017905,-0.059917,-0.009518
0.954991,-0.031887,0.017829,-0.065510,-0.017032
0.959991,-0.032232,0.017629,-0.071121,-0.030829
0.964991,-0.032604,0.017433,-0.076764,-0.036125
0.969991,-0.033005,0.017289,-0.082320,-0.041845
0.974991,-0.033433,0.017018,-0.087682,-0.051319
0.979991,-0.033887,0.016863,-0.092880,-0.055469
0.984991,-0.034366,0.016519,-0.097930,-0.061814
0.989991,-0.034871,0.016101,-0.102774,-0.074386
0.994991,-0.035399,0.015646,-0.107452,-0.080161
0.999991,-0.035949,0.015642,-0.111860,-0.075559
1.004991,-0.036521,0.002429,-0.115837,-0.109013
1.009991,-0.037110,0.002051,-0.119293,-0.114738
1.014991,-0.037716,0.001349,-0.122303,-0.120963
1.019992,-0.038335,0.000694,-0.124826,-0.118889
1.024992,-0.038966,-0.000027,-0.126855,-0.121679
1.029992,-0.039605,-0.000539,-0.128381,-0.122041
1.034992,-0.040250,-0.001278,-0.129397,-0.125349
1.039993,-0.040899,-0.001792,-0.129877,-0.118348
1.044993,-0.041548,-0.002494,-0.129772,-0.115632
1.049993,-0.042195,-0.002987,-0.129052,-0.118008
1.054993,-0.042836,-0.003691,-0.127676,-0.117985
1.059994,-0.043469,-0.004142,-0.125642,-0.116229
1.064994,-0.044089,-0.004833,-0.122966,-0.113617
1.069994,-0.044694,-0.005469,-0.119659,-0.116954
1.074994,-0.045281,-0.006164,-0.115670,-0.112485
1.079994,-0.045846,-0.006541,-0.111070,-0.107902
1.084995,-0.046386,-0.007182,-0.106025,-0.104311
1.089995,-0.046900,-0.007831,-0.100505,-0.108441
1.094995,-0.047385,-0.008472,-0.094502,-0.102255
1.099995,-0.047838,-0.009009,-0.088168,-0.104814
1.104996,-0.048259,-0.007145,-0.081490,-0.108648
